id,nome,categoria,descricao,funcao,estado,municipio
3f9b9b0e-86f5-4d56-b6a0-9a3f7727c09c,Magazine Luiza,Gestão & Negócios,Rede varejista brasileira com atuação em eletrodomésticos e eletrônicos,Vendedor,São Paulo,São Paulo
5a7c8d4e-01bf-4b9f-bc5e-89a4d09876a1,Ambev,Engenharias,Empresa líder em bebidas na América Latina,Analista de produção,Rio de Janeiro,Rio de Janeiro
74fcb782-ec30-4a3a-9a4e-6cbb6eec4330,Padaria Pão Nosso,Turismo & Hospitalidade,Padaria tradicional com atendimento familiar,Atendente de balcão,São Paulo,São Paulo
1b4d2c77-7848-4d21-8f7a-42a6e4a9239f,Hospital Albert Einstein,Ciências Médicas,Hospital privado de referência em saúde,Enfermeiro,São Paulo,São Paulo
c9f1e78a-236a-4f53-9e50-4d4f9fda287f,Totvs,TI & Computação,Desenvolvedora de software para gestão empresarial,Programador Java,São Paulo,São Paulo
a2d3b8f9-2d6c-4e27-b0a3-c0c9d2d0e0f7,Construtora Tenda,Engenharias,Empresa focada em construção civil,Engenheiro civil,Rio de Janeiro,Rio de Janeiro
d49f6f53-6381-4a4b-b6e3-11e4de3451a9,Escola Municipal Vila Nova,Ciências Humanas,Escola pública de ensino fundamental,Professor,São Paulo,São Paulo
e8c6d5b4-7c42-43b1-8b53-c6337e278fae,Farmácia São João,Ciências Biológicas e da Saúde,Rede de farmácias com atuação nacional,Assistente de farmácia,Minas Gerais,Belo Horizonte
bf5e2c7a-0d5a-44d9-bd24-3f1c53a9a83e,Agência de Publicidade XYZ,Comunicação & Artes,Agência de publicidade e marketing digital,Designer gráfico,São Paulo,São Paulo
7a9c1d4f-3c1f-4e3a-8b7a-59f1d8d6792c,Empresa Agroforte,Ciências Agrárias & Meio Ambiente,Produção e comercialização agrícola,Técnico agrícola,Mato Grosso,Cuiabá
39c8f7a2-e134-4a56-b75a-5d59183479af,Restaurante Bom Gosto,Turismo & Hospitalidade,Restaurante especializado em comida regional,Garçom,Rio Grande do Sul,Porto Alegre
