id,nome_insituicao,categoria,curso,valor_da_bolsa,modelo_de_curso,data_inicio,data_fim,estado,municipio
e17dde7d-cbaf-4f10-9179-b28a74b02f18,Universidade Boa Vista,Gestão & Negócios,Marketing,25% gratuita,Hibrido,2025-08-17,2029-08-16,Roraima,Boa Vista
958bb4fe-4481-4c24-ac67-0e2657e9b3cc,Universidade Caxias do Sul,TI & Computação,Sistemas de Informação,25% gratuita,Hibrido,2025-07-11,2027-07-11,Rio Grande do Sul,Caxias do Sul
73eb904d-07ce-4e64-86db-528d6d1a8845,Universidade Parnaíba,Ciências Jurídicas,Ciências Políticas,25% gratuita,Presencial,2025-07-11,2028-07-10,Piauí,Parnaíba
018a95be-5af5-4e19-a82f-4cb21c2e1a01,Universidade Imperatriz,TI & Computação,Sistemas de Informação,50% gratuita,EAD,2025-06-10,2028-06-09,Maranhão,Imperatriz
4caf3a81-657f-46ce-a532-d94d9e6f1e8a,Universidade São Paulo,Ciências Humanas,Sociologia,75% gratuita,EAD,2025-08-19,2029-08-18,São Paulo,São Paulo
aa203395-bf23-4ee8-bef3-95b837d4b8d8,Universidade Parintins,Sem graduação,Português para Estrangeiros,50% gratuita,Hibrido,2025-08-17,2029-08-16,Amazonas,Parintins
1061ec5d-d3c6-4327-bcfc-ad447baabb14,Universidade Caruaru,Turismo & Hospitalidade,Eventos,75% gratuita,Hibrido,2025-06-09,2028-06-08,Pernambuco,Caruaru
a3b6721d-13aa-4d9d-9903-dc0ed2811365,Universidade Campo Grande,Gestão & Negócios,Administração,50% gratuita,Hibrido,2025-07-11,2026-07-11,Mato Grosso do Sul,Campo Grande
6f1e76e1-5015-4fb2-8c3c-0b53c984742a,Universidade Rio Branco,Ciências Humanas,Filosofia,50% gratuita,Hibrido,2025-07-09,2027-07-09,Acre,Rio Branco
ec0b5475-7401-49d5-b22e-dda0a1290160,Universidade Campinas,Arquitetura e Urbanismo & Design,Arquitetura,50% gratuita,EAD,2025-06-17,2026-06-17,São Paulo,Campinas
6973d3a6-f9a0-4adf-8913-7be12566f13a,Universidade Brasília,TI & Computação,Ciência da Computação,75% gratuita,Hibrido,2025-07-29,2028-07-28,Distrito Federal,Brasília
9f2e3cca-3efe-4e20-b036-e56bf691f59f,Universidade Campo Grande,Ciências Jurídicas,Direito,25% gratuita,Presencial,2025-07-11,2026-07-11,Mato Grosso do Sul,Campo Grande
963a8d13-23c6-4306-975b-057b3859e7c1,Universidade Boa Vista,Comunicação & Artes,Rádio e TV,75% gratuita,Hibrido,2025-07-01,2028-06-30,Roraima,Boa Vista
ec4ecfdb-3eac-442f-873a-b939a1405722,Universidade Porto Alegre,Turismo & Hospitalidade,Hotelaria,50% gratuita,Hibrido,2025-06-13,2026-06-13,Rio Grande do Sul,Porto Alegre
2aeb7295-6c84-4228-8229-0b4e69122a58,Universidade Imperatriz,Ciências Humanas,Filosofia,75% gratuita,EAD,2025-06-23,2027-06-23,Maranhão,Imperatriz
a92195af-f6bb-47cb-97d2-fe0f19a9b0c7,Universidade Santana,Ciências Médicas,Enfermagem,100% gratuita,EAD,2025-07-29,2028-07-28,Amapá,Santana
66d3a686-acaa-4f62-93a0-786b2ae83c5a,Universidade Florianópolis,Engenharias,Engenharia Mecânica,75% gratuita,EAD,2025-08-15,2028-08-14,Santa Catarina,Florianópolis
87465cca-c5af-467e-a243-a4a5ad6645ae,Universidade Campina Grande,Sem graduação,Edição de Vídeo,100% gratuita,EAD,2025-07-24,2029-07-23,Paraíba,Campina Grande
4c0da795-0d9f-4534-bded-46d55286ae78,Universidade Palmas,Ciências Biológicas e da Saúde,Biomedicina,25% gratuita,Presencial,2025-07-19,2026-07-19,Tocantins,Palmas
def94c33-d4fe-4b11-a8b9-e9d3dd55f40a,Universidade Rio Branco,Ciências Agrárias & Meio Ambiente,Gestão Ambiental,50% gratuita,Hibrido,2025-07-09,2026-07-09,Acre,Rio Branco
c0be93fd-2b16-4207-8bae-ad95ef22630d,Universidade Florianópolis,Sem graduação,Pacote Office,25% gratuita,Presencial,2025-06-13,2028-06-12,Santa Catarina,Florianópolis
3c4faf21-4841-4aa1-8ebd-dcd31df2f72b,Universidade São Luís,TI & Computação,Sistemas de Informação,50% gratuita,Presencial,2025-06-20,2028-06-19,Maranhão,São Luís
b528facf-f8ca-4b29-a129-453ba6c35d4b,Universidade Teresina,Arquitetura e Urbanismo & Design,Design de Interiores,100% gratuita,Presencial,2025-08-10,2028-08-09,Piauí,Teresina
449ddf38-1ee1-4811-881a-177b12c437cc,Universidade Rio Branco,Sem graduação,Pacote Office,50% gratuita,Presencial,2025-08-17,2027-08-17,Acre,Rio Branco
b8f09e54-6876-4c88-8fee-c89f67dc2332,Universidade Anápolis,Engenharias,Engenharia Mecânica,100% gratuita,EAD,2025-07-19,2028-07-18,Goiás,Anápolis
42968d8b-8b24-4ef9-af75-24512ebc80e7,Universidade Arapiraca,Ciências Médicas,Fisioterapia,50% gratuita,EAD,2025-08-12,2029-08-11,Alagoas,Arapiraca
ed1a29b9-f484-4494-a428-b9083551ff93,Universidade Rio Branco,Ciências Humanas,Filosofia,50% gratuita,EAD,2025-06-24,2026-06-24,Acre,Rio Branco
07d22d43-fcd4-4558-9e61-612f0c6564ff,Universidade Curitiba,Engenharias,Engenharia Mecânica,50% gratuita,EAD,2025-07-29,2028-07-28,Paraná,Curitiba
a5904981-ca93-458f-9f56-74273c7139ef,Universidade Santana,Gestão & Negócios,Administração,75% gratuita,Presencial,2025-07-19,2026-07-19,Amapá,Santana
26cd5d28-862d-4b09-b659-d3bdcb255e8d,Universidade Teresina,Ciências Médicas,Medicina,50% gratuita,EAD,2025-06-30,2027-06-30,Piauí,Teresina
c10b87a5-a52c-462c-bdb4-a60b978a5df2,Universidade Salvador,Arquitetura e Urbanismo & Design,Design de Interiores,25% gratuita,EAD,2025-06-06,2026-06-06,Bahia,Salvador
330563af-6c01-47ce-9fb1-458d9e3e5049,Universidade Belo Horizonte,Engenharias,Engenharia Elétrica,50% gratuita,EAD,2025-08-18,2028-08-17,Minas Gerais,Belo Horizonte
0dd0f736-83ed-4f8c-9945-7c51a987a007,Universidade Imperatriz,TI & Computação,Ciência da Computação,50% gratuita,Hibrido,2025-08-09,2028-08-08,Maranhão,Imperatriz
585222f4-e2e0-4263-ab89-80f8e2c8fb1f,Universidade Vitória,Engenharias,Engenharia Mecânica,100% gratuita,Hibrido,2025-06-20,2028-06-19,Espírito Santo,Vitória
e376fa1a-7afe-4981-96d1-8ee4eb38c02b,Universidade Brasília,Comunicação & Artes,Rádio e TV,100% gratuita,Hibrido,2025-07-27,2026-07-27,Distrito Federal,Brasília
6be25446-1a19-4337-9d47-372ffed4f557,Universidade Caxias do Sul,Sem graduação,Português para Estrangeiros,75% gratuita,Presencial,2025-07-24,2026-07-24,Rio Grande do Sul,Caxias do Sul
6ad9c8b2-4f09-4183-8b3d-726a5717d191,Universidade Caruaru,Ciências Médicas,Enfermagem,75% gratuita,Presencial,2025-06-16,2027-06-16,Pernambuco,Caruaru
d337f64d-1ac0-468a-b55e-e77086ab1d26,Universidade Boa Vista,Turismo & Hospitalidade,Hotelaria,25% gratuita,EAD,2025-07-06,2028-07-05,Roraima,Boa Vista
7f8bfcfd-db22-4ef9-b714-4caef4587208,Universidade Campina Grande,Ciências Agrárias & Meio Ambiente,Engenharia Agrônoma,75% gratuita,Hibrido,2025-08-02,2029-08-01,Paraíba,Campina Grande
627b35ef-d2a5-40e7-ac5b-1b7d5f1ed93c,Universidade Londrina,Ciências Médicas,Fisioterapia,100% gratuita,Hibrido,2025-06-30,2026-06-30,Paraná,Londrina
6a8e89ab-0b4b-423b-a7ea-1c8d5ae3c34d,Universidade Salvador,Arquitetura e Urbanismo & Design,Design Gráfico,75% gratuita,Presencial,2025-06-15,2029-06-14,Bahia,Salvador
ba2a4437-48a0-4215-a37a-e570347f1cd1,Universidade Parnaíba,Ciências Médicas,Fisioterapia,100% gratuita,Hibrido,2025-08-08,2026-08-08,Piauí,Parnaíba
a335357e-c12b-491e-afbd-e1d21f44d57e,Universidade Goiânia,Ciências Biológicas e da Saúde,Educação Física,25% gratuita,Presencial,2025-06-01,2026-06-01,Goiás,Goiânia
1e2b8a9f-5ee2-4aae-9419-333e64467a3b,Universidade São Luís,Ciências Biológicas e da Saúde,Educação Física,75% gratuita,Presencial,2025-06-23,2026-06-23,Maranhão,São Luís
97b1470d-bff8-4b63-8a49-0ede45944bdb,Universidade Aracaju,TI & Computação,Ciência da Computação,75% gratuita,EAD,2025-07-18,2026-07-18,Sergipe,Aracaju
265dc41b-5153-4f39-bc6c-8ffbd94fe129,Universidade João Pessoa,Sem graduação,Português para Estrangeiros,50% gratuita,Hibrido,2025-07-23,2027-07-23,Paraíba,João Pessoa
d76e1944-7d6b-4d79-8776-8c1f0242126c,Universidade Santana,Ciências Médicas,Enfermagem,75% gratuita,Presencial,2025-08-01,2026-08-01,Amapá,Santana
